simulation,period,total_sn,total_cost,layer_materials,layer_thicknesses,layer_sns,startover
20,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
21,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
22,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
23,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
24,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
25,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
26,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
27,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
28,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
29,0,4.53,61.00416666666667,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 5.0, 19.0]","[0.44, 0.44, 0.13, 0.1]",False
